排名,電影中文片名,電影英文片名,網友評分
01,帝國浩劫：美國內戰,Civil War,7.7
02,犯罪都市4,The Roundup: Punishment,9.6
03,特技玩家,The Fall Guy,8.2
04,劇場版 排球少年!! 垃圾場的決戰,Haikyuu!! the Movie：The Battle at the Garbage Dump,9.7
05,貓的報恩,The Cat Returns,10
06,機動戰士鋼彈SEED FREEDOM,Mobile Suit Gundam Seed Freedom,9.4
07,哥吉拉與金剛：新帝國,Godzilla x Kong: The New Empire,8.7
08,錢不夠用3：全部夠用,Money No Enough 3,10
09,噬血芭蕾,Abigail,9.5
10,非紳士特攻隊,The Ministry Of Ungentlemanly Warfare,9.2
11,鬼天廈,Mystery Writers,3.5
12,挑戰者,Challengers,2.7
13,蜘蛛驚,Sting,6.3
14,青春18x2 通往有你的旅程,18×2 Beyond Youthful Days,8.8
15,特別總集篇 名偵探柯南 vs. 怪盜基德,Detective Conan: Compilation Film“Detective Conan vs. Kid the Phantom Thief”,6.9
16,再愛一次,Mai,9.5
17,沙丘：第二部,Dune: Part Two,9.2
18,少年的漂浪旅程,Io Capitano,9.5
19,再見機器人,Robot Dreams,9.8
20,怪物樵夫,Lumberjack The Monster,10
